frase,diagnostico,risco
Pressão intensa no peito com vômito ao subir no ônibus.,Infarto,Alto Risco
Pernas inchadas me cansam em trajetos curtos a pé.,Insuficiência Cardíaca,Baixo Risco
Sensação de queima ao fumar após o café da manhã.,Angina,Baixo Risco
Dor aguda no peito com formigamento na mão ao comer.,Infarto,Alto Risco
Fadiga me impede de responder e-mails no celular.,Insuficiência Cardíaca,Baixo Risco
Pulsações erráticas surgem ao deitar para dormir.,Arritmia,Baixo Risco
Pressão torácica leve ao carregar sacola de pão.,Angina,Baixo Risco
Aperto súbito no coração com tontura me fez cair da cadeira.,Infarto,Alto Risco
Cansaço me afeta ao subir um degrau baixo.,Insuficiência Cardíaca,Baixo Risco
Coração disparado me força a pausar a leitura.,Arritmia,Alto Risco
Dor no peito ao esticar para pegar um livro.,Angina,Baixo Risco
Dor opressiva irradia para o braço esquerdo ao caminhar.,Infarto,Alto Risco
Cansaço extremo me deixa sem ar para falar.,Insuficiência Cardíaca,Baixo Risco
Batimentos irregulares me interrompem no chuveiro.,Arritmia,Alto Risco
Desconforto no tórax ao beber água gelada.,Angina,Baixo Risco
Dor forte no peito com suor ao acordar cedo.,Infarto,Alto Risco
Cansaço me obriga a sentar após escovar dentes.,Insuficiência Cardíaca,Baixo Risco
Queimor leve ao tossir no meio da conversa.,Angina,Baixo Risco
Dor esmagadora com náusea me parou na cozinha.,Infarto,Alto Risco
Inchaço nas pernas afeta minhas caminhadas matinais.,Insuficiência Cardíaca,Baixo Risco
Ritmo descompassado me deixa tonto ao sentar.,Arritmia,Baixo Risco
Aperto torácico ao virar páginas do jornal.,Angina,Baixo Risco
Dor intensa no coração com falta de ar repentina.,Infarto,Alto Risco
Exaustão me impede de ligar para a família.,Insuficiência Cardíaca,Baixo Risco
Palpitações fortes no coração me forçam a deitar no trabalho.,Arritmia,Alto Risco
Sensação de peso no peito ao carregar o celular no bolso.,Angina,Baixo Risco
Dor muito forte irradia para o braço esquerdo ao deitar.,Infarto,Alto Risco
Cansaço persistente reduz minha paciência para tarefas.,Insuficiência Cardíaca,Baixo Risco
Batimentos acelerados me acordam suado à noite.,Arritmia,Alto Risco
"As vezes sinto meu coração falhar, uma leve falta de ar e tontura.",Arritmia,Baixo Risco
Dor aguda leve ao respirar no frio da manhã.,Angina,Baixo Risco
Aperto no coração com vômito ao estressar.,Infarto,Alto Risco
Exaustão após arrumar a mesa do café.,Insuficiência Cardíaca,Baixo Risco
Coração com batimento irregular me interrompe no meio do filme.,Arritmia,Baixo Risco
